data;;;;texte;;;;;interactions;;quiz;;;;;;;;images;;;;;;;;;;autres
id;nom;lng;lat;titre;text1_p1;text1_p2;text2_p1;text2_p2;interaction;followtrack;question_subject;question;type_question;answer1;answer2;answer3;answer4;correct;img_title;img_swip1;img_swip2;img_swip3;img_swip4;img_swip5;img_swip6;img_swip7;img_swip8;img_swip_legend;remarque
6;Place du Vallon;6.639080865;46.5266594;Bienvenue à Lausanne-les-Bains! L'histoire mouvementée d'un quartier les pieds dans l'eau.;Niché au fond de la vallée du Flon – d'où son nom – le quartier du Vallon a changé plusieurs fois de visage aux cours des siècles. Au XVIIIe siècle, c'est son heure de gloire: la haute société s'y rend pour y «prendre les eaux» dans des bains thermaux (situés à l'emplacement du n°12) alimentés par une source ferrugineuse recommandée par les médecins. Le vallon est orné d'une promenade plantée d'arbres et d'un pavillon des bains. Au tournant du XXe siècle, tout cela disparaît. Le quartier attire cependant toujours les touristes qui, de 1899 à 1948, pouvaient monter jusqu'au tout nouveau lac de Sauvabelin grâce à un funiculaire dont la gare de départ subsiste.;;Mais au début du XXe siècle, le quartier, devenu industriel, se distingue surtout par son insalubrité. Pour améliorer l'hygiène, on crée les Bains et Buanderie Haldimand, destinés cette fois à la population ouvrière qui ne dispose pas d'eau courante. Ces bains sont alimentés par une eau sans minéralisation particulière, la source ferrugineuse ayant été perdue. La construction en 1958 de l'usine d'incinération du Vallon, à 200 mètres d'ici, n'améliore de loin pas l'image du quartier. Durant ces dernières années, le Vallon a aussi accueilli divers squats et une part de la scène alternative lausannoise.;;A quoi ressemblaient ces bains?;Je veux poursuivre mon chemin;Existence des éléments du quartier par ordre croissant;Pouvez-vous classer ces éléments selon leur ordre d'existence dans le quartier du Vallon, du plus ancien au plus récent? ;ordinal;Bains et Buanderie Haldimand ;Usine Tridel;Funiculaire;Squats;;;;;;;;;;;;
7;Tunnel de la Barre;6.637391121;46.52538984;La ceinture Pichard, ou comment défier le relief lausannois.;Tout cycliste s'aventurant à Lausanne sait que le relief de cette ville est tout sauf plat. C'était plus encore le cas lorsque les vallons du Flon et de la Louve n'étaient pas encore comblés et que l'éperon de la Barre constituait un obstacle difficile à franchir.;Pour mieux se déplacer à Lausanne, le premier ingénieur cantonal vaudois, Adrien Pichard, élabore un concept de circulation: la «ceinture Pichard». La construction de cette ceinture routière (1836-1860) neutralise en grande partie la topographie lausannoise.;Au nord de la ville, le tunnel de la Barre, long de 56 mètres, relie les profonds vallons du Flon et de la Louve à l’endroit où ces deux cours d’eau se rapprochent et marquent un resserrement avant de circonscrire la colline de la Cité. Le vallon du Flon est traversé grâce à la construction magistrale du Grand Pont, qui constitua longtemps l'une des principales attractions touristiques de Lausanne.;Au début du XXe siècle la ceinture Pichard est complétée par d'autres ouvrages comme les ponts Chauderon (1904-1905) et Bessières (1908-1910). Les conditions de circulation ainsi nettement améliorées favorisent le développement de la ville.;Une ceinture de circulation qui passe par où?;Je veux poursuivre mon chemin;Durée de construction de la ceinture Pichard;En combien de temps a été construite la ceinture Pichard? ;single;14 ans;24 ans;34 ans;54 ans;;;;;;;;;;;;
8;Place de la Cathédrale;6.634875434;46.52286296;Des constructions locales et durables et une matière première vivante.;Locales? Oui! Les matériaux de construction de la plupart des édifices de la Cité proviennent des carrières de molasse lausannoise exploitées par le passé autour du vieux bourg et des vallées du Flon et de la Louve. Durables? Oui, mais sensibles à la pluie et à la pollution. Les bâtiments en molasse nécessitent des travaux d’entretien et de restauration réguliers. Voyez-vous quelques-uns de ces blocs rongés chimiquement par l'air et l'humidité?;;La molasse, mais aussi d'autres roches comme le calcaire, utilisé par exemple pour les marches d'escalier, contiennent les restes fossiles d'animaux et de végétaux d’espèces tropicales. Ouvrez l’œil! Ces témoins sont parfois visibles sur les façades des murs de la Cité. Ils racontent une histoire climatique tropicale bien différente de celle d’aujourd’hui.;;Non, montrez-moi à quoi ils ressemblent!;Amenez-moi plutôt poste suivant;Roches présentes autour de la cathédrale;Parmi ces roches, laquelle ne fait pas partie du bâti présent autour de la cathédrale? ;single;Le Gneiss;La Molasse;Le Calcaire;Le Granite;;;;;;;;;;;;
9;Place de la Riponne;6.633119754;46.52298479;La valse des pelleteuses: combler et creuser le vallon de la Louve.;Au cours du XIXe siècle, la ville de Lausanne manque cruellement d'espace pour se développer. Les vallons de la Louve et du Flon qui, jusqu'ici, étaient utile à la défense de la ville, sont devenus un frein à son développement. Les autorités décident alors de combler les vallons pour enterrer les cours d'eau pollués (voir Arrêt 4) et de créer des espaces publics.;Le voûtage du Flon permet la création de la place Pépinet et de la rue Centrale. La place de la Riponne, elle, est issue du voûtage de la Louve et du comblement de son vallon (1812-1840). A l'interface entre la ville et la campagne, la place de la Riponne abrite à cette époque le marché aux chevaux et une partie du marché artisanal.;Avec la création de la place de la Riponne, l’histoire du vallon de la Louve n’est cependant pas terminée. En 1976, des pelleteuses creusent la place et mettent le vallon temporairement à ciel ouvert pour permettre la construction du parking souterrain de la Riponne. Trente ans plus tard, les pelleteuses sont de retour: une partie de la place de la Riponne est de nouveau excavée dans le cadre de la construction du M2, Métro de Lausanne qui relie depuis 2008 Ouchy à Epalinges. À quand les prochains travaux?;;Que se passe-t-il ensuite?;Amenez-moi au poste suivant!;Occurence des événements ordre croissant;Pouvez-vous classer ces événements par ordre d'occurence, du plus ancien au plus récent? ;ordinal;Voûtage de la Louve;Construction du Palais de Rhumine;Construction du parking souterrain;Construction de la station du M2;;;;;;;;;;;;
10;Louve souterraine;6.632489233;46.52304574;Découvrez l'un des cours d'eau enterré de Lausanne;Entre 1812 et 1840, des travaux de voûtage et de comblement ont fait disparaître la Louve du paysage urbain. Pour l'apercevoir, il faut se rendre dans le parking souterrain de la Riponne (entrée depuis la station de métro) où un regard permet de l'observer sur un petit tronçon. Selon les conditions météorologiques, vous apercevez un petit ruisseau ou un cours d'eau turbulent.;;Une station de mesure installée sur la Louve permet de visualiser son débit, c'est-à-dire la quantité d'eau qui s'écoule en une seconde en un point donné de la rivière. Le débit de la Louve est fortement influencé par les travaux d'aménagements et les effets de l'urbanisation. Par rapport à un cours d'eau similaire à l'état naturel, les pics de débit des crues de la Louve sont beaucoup plus accentués (voir figure). Cet effet est dû à l'imperméabilisation des surfaces construites qui empêchent en grande partie l'infiltration des eaux de pluies. Ces dernières vont directement rejoindre le cours d'eau au lieu d'être retenues dans le sol.;Des travaux ont aussi été entrepris pour dériver les eaux claires de la Louve jusqu'au déversoir situé sous la Vallée de la Jeunesse. La Louve se trouve ainsi privée d'une part de son eau, ce qui réduit surtout les pics de débit. Ce que vous observez depuis le regard n'est que le résidu de la Louve qui, autrefois, traversait la ville à ciel ouvert.;Je veux voir la Louve souterraine!;Je préfère continuer mon chemin;Information incorrecte sur l'urbanisation, les crues;Laquelle de ces affirmations est incorrecte? ;single;L'urbanisation augmente l'infiltration des eaux de pluie ;L'urbanisation entraîne l'imperméabilisation des sols ;L'imperméabilisation des sols accentue les pics de débit de crue ;L'imperméabilisation des sols réduit l'infiltration des eaux de pluie ;;;;;;;;;;;;
11;Place St-Laurent;6.630561433;46.52237444;Un fragile équilibre, hérité de l'époque glaciaire, est rompu par le creusement du métro... et voilà qu'une place s'effondre!;Mardi 22 février 2005, grosse surprise sur le chantier du creusement du métro m2: comme dans un sablier, eau, sable et gravats s'écoulent à travers le «plafond» du tunnel et laissent à la surface un gros trou. Que s'est-il passé? Pour mieux comprendre, remontons quelque 25’000 ans en arrière...;;Aujourd'hui, la place a retrouvé sa solidité, mais le sous-sol de Lausanne réserve encore bien des surprises!;;Que s'est-il passé?;Je veux poursuivre mon chemin;Cause de l'effondrement de la place;L'Effondrement place st-Laurent a eu lieu parce que... ;single;Le sol de la place était construite au-dessus d'un lac souterrain ;Le sol de la place était composé de matériel meuble ;La moraine qui faisait barrage s'est effondrée ;Les travaux ont eu lieu trop près de la surface ;;;;;;;;;;;;
12;Place Pépinet;6.63242487;46.5207612;Pouvez-vous imaginer que deux rivières se rejoignent ici, juste sous vos pieds?;Les rues et les bâtiments cachent aujourd'hui la nature de cet endroit. Pourtant, plusieurs indices nous permettent de reconstituer le tableau. La rue Centrale, devant vous, a été créée en comblant la vallée du Flon qui s'écoule aujourd'hui en sous-sol, dans une galerie. Observez, à gauche, comme la ligne des maisons tourne en suivant les versants de l'ancienne vallée qui descend en pente douce vers vous. La rivière continue à votre droite et passe sous les arches du Grand-Pont. Nous la retrouverons plus tard.;;Après avoir traversé la Riponne, la Louve descend la rue... de la Louve bien sûr! Elle se jette dans le Flon juste sous vos pieds, sous la place Pépinet. C'est ainsi que la colline de la Cité, avec la cathédrale, se trouvait autrefois presque entièrement entourée d'eau, comme une île au cœur de la ville. Comme partout où deux rivières se rejoignent, le lieu était très humide. La place de la Palud, toute proche, nous le rappelle: son nom veut dire «Place du Marais».;;Je ne vois pas très bien, où seraient ces rivières?;Amenez-moi plutôt poste suivant;Affirmation fausse la position des deux rivières;Laquelle de ces affirmations est fausse? ;single;La Louve se jette dans le Flon ;La Louve passe sous la place de l'Europe ;Le quartier du Flon doit son nom à la rivière qui passe dessous ;""Place de la Palud" signifie "place du marais" ""Place de la Palud" signifie "place du marais" ""lace de la Palud" signifie """ace de la P";;;;;;;;;;;;
13;Passerelle du Flon, millieu;6.63045748;46.52071629;Du ballet des marchandises aux bals des étudiants.;La nuit, la vie dans le quartier du Flon bat son plein. De nombreux bars et lieux de sortie nocturne caractérisent aujourd'hui cet endroit qui, autrefois, était un lieu de transit pour les marchandises.;;Depuis sa création à la fin du XIXe siècle par comblement du vallon du Flon, le quartier homonyme est très dynamique. Zone industrielle d'abord, le quartier du Flon comprend un port franc et une gare de marchandise. Les biens acheminés par la «ficelle» (l’ancien métro) reliant le Flon à la gare ferroviaire et au port d'Ouchy transitent dans les entrepôts qui fleurissent dans la zone.;Des activités artisanales, créatives et récréatives prennent le relais à partir de l'après-guerre, lorsque les entrepôts perdent progressivement leur fonction. Après une période plutôt tranquille durant laquelle le site se dégrade, la ville cherche à réhabiliter le quartier du Flon en adoptant le plan partiel d'affectation (PPA) en 1999. Les travaux entrepris depuis vont progressivement transformer le quartier en un site où infrastructures de transport (m1, m2, LEB), grands commerces, loisirs et administrations se côtoient et où des bâtiments anciens se mêlent aux reconstructions.En savoir plus;Dites m'en plus sur le passé du Flon!;Je veux poursuivre mon chemin;Nom du document adopté par la ville pour réhabiliter le Flon;Pour réhabiliter le quartier du Flon, la ville adopte en 1999 un... ;single;Plan partiel d'affectation ;Plan localisé de quartier ;Programme pour l'aménagement ;Plan partiel d'aménagement ;;;;;;;;;;;;
14;Passerelle du Flon, sud;6.630294002;46.52033437;En faisant un grand virage, une route nous rappelle comment le cours des rivières a été bouleversé... il y a 25'000 ans.;Le Flon, caché en sous-sol, descend la rue Centrale, passe sous le Grand-Pont et arrive sur la place de l'Europe. La route principale suit tout le long le tracé du cours d'eau. Mais que se passe-t-il? Juste après les arches du pont, la route (et le Flon en dessous d'elle) tourne brusquement avant de continuer tout droit à travers le quartier du Flon. Sauriez-vous expliquer ce changement de direction?;;Normalement, lorsque la pente est forte, comme à Lausanne, les rivières s'écoulent sans détour: le Flon aurait dû prendre le même chemin que le métro, direct jusqu'à Ouchy. Quelle force l'a-t-il détourné du droit chemin? C’est le glacier du Rhône qui, il y a 25'000 ans occupait la cuvette du Léman. Le climat était alors plus froid de 8 degrés environ qu’à l’heure actuelle. Le glacier à laissé ici de côté une imposante moraine, l'actuelle colline de Montbenon que rejoint cette passerelle. Le Flon a été obligé de longer cet obstacle en direction de l'ouest. Ce n'est qu'à Vidy qu'il pourra enfin retrouver le Léman, mais ceci est une autre histoire...;;Quelle est l'origine de ce changement de direction?;Je veux continuer!;Date de la présence du glacier du Rhône;Le glacier du Rhône était présent sur place il y a : ;single;15'000 ans ;20'000 ans;25'000 ans;30'000 ans;;;;;;;;;;;;
15;Esplanade de Montbenon;6.626473268;46.51919587;Dans la famille des moraines de Lausanne, qui est la plus vieille? Un petit jeu pour découvrir que les glaciers ne tiennent pas longtemps en place...;En se déplaçant, tous les glaciers transportent d'innombrables fragments de roches arrachés au fond et aux bords des vallées ou éboulés sur la glace. Ces matériaux rocheux peuvent être plus petits qu'un grain de sable... ou aussi gros qu'une maison!;;Quand le climat est favorable – froid, humide – le glacier progresse vers l'aval, emportant avec lui de très nombreux morceaux de roche. S'il se forme autant de glace en montagne qu'il n'en fond en plaine, le glacier cesse alors de progresser: la glace continue de couler vers l'aval, mais le front du glacier reste à la même place durant plusieurs années. Les morceaux de roche, toujours transportés par la glace, s'empilent tous au même endroit dans la plaine. C'est ainsi qu'à chaque arrêt du glacier se crée à sa hauteur une moraine, comme celle de Montbenon. Mais le climat change sans cesse. Si les températures augmentent beaucoup, le glacier fond, devient plus petit et recule. S'il fait à nouveau plus froid, il refera du sur place et construira une autre moraine. S’il fait beaucoup plus froid, le glacier se remettra à grossir et son front progressera vers l’aval.;Allez jusqu'au bord de l'esplanade, face au lac (là où se trouvait le glacier du Rhône). Vous voyez un peu plus bas la colline de Montriond, couverte de forêt, qui dépasse des bâtiments: c'est une autre moraine! A votre avis, est-elle plus jeune ou plus vieille que celle de Montbenon?;Les glaciers forment des moraines mais comment?;Je continue mon chemin;Age relatif des deux moraines;La quelle de ces deux moraines est la plus récente? ;single;Celle de Montriod ;Celle de Montbenon ;;;;;;;;;;;;;;
