indicator;type;title;series;question;option1;option2;option3;option4;option5;img
i11;unique;Avant de commencer, nous aimerions en savoir un peu plus sur…;introduction;Votre catégorie d'âge;Moins de 20 ans;20 - 39 ans;Plus de 40 ans;;;
i12;unique;Avant de commencer, nous aimerions en savoir un peu plus sur…;introduction;Votre plus haute formation;Ecole obligatoire, Ecole de culture générale;Apprentissage, Ecole professionnelle;Maturité, Formation professionnelle supérieure;Formation universitaire, Haute école;;
i13;unique;Avant de commencer, nous aimerions en savoir un peu plus sur…;introduction;Votre langue maternelle;Français;Autre;;;;
i14;unique;Connaissez-vous la ville de Lausanne?;lausanne knowledge;Vous êtes originaire de…;Lausanne et région;Suisse romande;Reste de la Suisse;Hors de la Suisse;;
i15;unique;Le Géoguide fonctionne sur votre téléphone, c'est super! Mais vous…;user habits;Vous utilisez des smartphones/tablettes tactile;Moins d'une fois par semaine;1 à 7 fois par semaine;Plusieurs fois par jour;;;
i16;unique;Le Géoguide fonctionne sur votre téléphone, c'est super! Mais vous…;user habits;Vous utilisez internet;Moins d'une fois par semaine;1 à 7 fois par semaine;Plusieurs fois par jour;;;
i17;slider;Vous êtes sur le bon chemin!;user abilities;Sur une échelle de 1 à 5, évaluez votre niveau dans les domaines suivants (1 =aible, 5=élevé);Lecture de carte;Sens de l'orientation;;;;
i18;slider;Le Géoguide contient beaucoup d'informations sur des domaines très spécifiques… Et vous, qu'est-ce qui vous intéresse?;;Sur une échelle de 1 à 5, évaluez votre intérêt dans ces différents domaines (1 =aible, 5=élevé);Géologie;Géomorphologie;Hydrologie, Glaciologie;Urbanisme;Histoire;
i21;unique;Nous sommes enfin arrivés, mais nous avons encore quelques petites questions!;;De manière générale, vous avez trouvé les textes explicatifs;Très intéressants;Plutôt intéressants;Peu intéressants;Pas intéressants du tout;;
i22;;;;;;;;;;
i23;unique;Nous sommes enfin arrivés, mais nous avons encore quelques petites questions!;;De manière générale, vous avez trouvé les quiz;Très intéressants;Plutôt intéressants;Peu intéressants;Pas intéressants du tout;Je n'ai pas fait les quiz!;
i24;unique;Nous sommes enfin arrivés, mais nous avons encore quelques petites questions!;;De manière générale, vous avez trouvé les lieux présentés;Très intéressants;Plutôt intéressants;Peu intéressants;Pas intéressants du tout;;
i25;unique;Connaissez-vous la ville de Lausanne?;lausanne knowledge;Combien de fois avez-vous déjà effectué le parcours du Géoguide Lausanne?;Jamais, c'est la première fois;Une fois;Deux fois ou plus;;;
i311;unique;Commençons par un petit test de connaissance;introduction;Le relief Lausannois a notamment été dessiné par deux rivières. Il s'agit de :;La Louve et La Sorge;La Louve et La Venoge;La Louve et Le Flon;La Venoge et Le Flon;;
i312;unique;Commençons par un petit test de connaissance;introduction;En géomorphologie, lequel de ces termes désigne une forme sédimentaire d'origine glaciaire? ;Un éboulis;Une gorge;Une moraine;Un bassin versant;;
i313;unique;Commençons par un petit test de connaissance;introduction;A Lausanne, lequel de ces quartiers n'a pas connu de projet d'aménagement d'envergure durant les deux derniers siècles?;Le Flon;La Cité;La Riponne;Le Vallon;;
i314;unique;;introduction;;;;;;;
